"_time",IPSource,ja3,PortDestination,PortSource,UserAgent,Request
"2018-03-25 13:41:09.191 UTC","74.82.47.5",caaddd3ed0a315543d761490b01b08e0,443,6546,"-","GET / HTTP/1.1"
"2018-03-25 13:38:27.457 UTC","184.105.139.67",22aa2bdb630c59d5ff64a34017e418c4,443,37820,,
"2018-03-25 13:38:00.621 UTC","184.105.139.67",44609cef6ec7084c37c59c6317edb271,443,32184,,
"2018-03-25 13:35:17.171 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,48666,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:35:13.046 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,48982,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:34:50.063 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,33790,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:34:44.187 UTC","184.105.247.252",caaddd3ed0a315543d761490b01b08e0,443,43864,,
"2018-03-25 13:34:25.171 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,50252,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:34:18.624 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,43820,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:34:16.834 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,33826,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:34:15.609 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,42952,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:33:14.207 UTC","46.161.55.108",9893a7df786b1a33fb27c691e770b496,443,52254,"python-requests/2.18.4","GET /_asterisk/ HTTP/1.1"
"2018-03-25 13:31:43.855 UTC","74.82.47.5",22aa2bdb630c59d5ff64a34017e418c4,443,45094,,
"2018-03-25 13:31:16.771 UTC","74.82.47.5",44609cef6ec7084c37c59c6317edb271,443,31564,,
"2018-03-25 13:25:50.473 UTC","185.40.4.99",21a7dd3d178d70c404dc6e9ecc21989e,443,59614,,
"2018-03-25 13:25:49.613 UTC","185.40.4.99",21a7dd3d178d70c404dc6e9ecc21989e,443,47534,"curl/7.29.0","GET //cgi-bin/webcm?getpage=../html/menus/menu2.html&var:lang=%26%20allcfgconv%20-C%20voip%20-c%20-o%20-%20../../../../../var/tmp/voip.cfg%20%26 HTTP/1.1"
"2018-03-25 13:06:10.112 UTC","184.105.247.196",22aa2bdb630c59d5ff64a34017e418c4,443,62012,"-","GET / HTTP/1.1"
"2018-03-25 13:05:51.852 UTC","141.212.122.48",de13f4c4d70f4211159e2360e806a742,443,21874,,
"2018-03-25 13:05:43.104 UTC","184.105.247.196",44609cef6ec7084c37c59c6317edb271,443,48084,"-","GET / HTTP/1.1"
"2018-03-25 13:05:02.108 UTC","184.105.247.196",caaddd3ed0a315543d761490b01b08e0,443,16536,"-","GET / HTTP/1.1"
